Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
osquery/osquery,Uptycs,PlatformOps,Observability,https://www.uptycs.com/,17492,709,6823,2089,330,107,4200,C++,https://github.com/osquery/osquery
vercel/vercel,Vercel,Developer,Platform,https://vercel.com/,6509,102,4445,841,159,815,2545,TypeScript,https://github.com/vercel/vercel
webiny/webiny-js,Webiny,Developer,Platform,https://www.webiny.com/,4063,69,1355,305,42,1612,569,TypeScript,https://github.com/webiny/webiny-js
whylabs/whylogs-python,WhyLabs,AI/ML,Orchestration,https://whylabs.ai/,238,9,116,8,7,4,86,Python,https://github.com/whylabs/whylogs-python
yugabyte/yugabyte-db,Yugabyte,Data,Database,https://www.yugabyte.com/,4698,177,6775,493,138,43,952,C,https://github.com/yugabyte/yugabyte-db
milvus-io/milvus,Zilliz,Data,Search Engine,https://zilliz.com/,4835,139,4452,759,117,17,2406,C++,https://github.com/milvus-io/milvus
artifacthub/hub,Artifact Hub,PlatformOps,Catalog,artifacthub.io/,343,13,989,34,12,12,722,TypeScript,https://github.com/artifacthub/hub
mongodb/mongo,MongoDB,Data,Database,Mongodb.com,19064,1255,1369,4684,274,0,1369,C++,https://github.com/mongodb/mongo
elastic/elasticsearch,Elastic,Data,Database,elastic.com,52996,2800,66723,18672,356,37,40958,Java,https://github.com/elastic/elasticsearch
tensorflow/tensorflow,Google,AI/ML,Platform,google.com,152116,8285,45852,83651,407,123,16311,C++,https://github.com/tensorflow/tensorflow
kubernetes/kubernetes,CNCF,PlatformOps,Platform,cncf.io,73217,3301,97607,26461,381,440,60500,Go,https://github.com/kubernetes/kubernetes
aspnet/Aspnetcore,Microsoft,Developer,Framework,www.microsoft.com,20550,1486,27769,5845,345,98,8042,C#,https://github.com/aspnet/Aspnetcore
flutter/flutter,Google,Developer,Framework,flutter.dev,109957,3372,72946,15548,400,0,24826,Dart,https://github.com/flutter/flutter
istio/istio,Istio,Networking,Framework,istio.io,25767,1029,29771,4980,389,175,17464,Go,https://github.com/istio/istio
helm/helm,cncf,PlatformOps,Catalog,helm.sh,18674,537,9138,5479,379,132,3936,Go,https://github.com/helm/helm
apache/cassandra,datastax,Data,Database,datastax.xom,6367,491,858,2761,288,0,858,Java,https://github.com/apache/cassandra
